===BANCO DE REGISTRADORES===
________________________
|0x00000000| 0x00000000|
|0x00000001| 0x10010000|
|0x00000002| 0x00000000|
|0x00000003| 0x00000000|
|0x00000004| 0x00000000|
|0x00000005| 0x00000000|
|0x00000006| 0x00000000|
|0x00000007| 0x00000000|
|0x00000008| 0x10010000|
|0x00000009| 0x00000067|
|0x0000000a| 0x10010004|
|0x0000000b| 0x00000025|
|0x0000000c| 0x1001001c|
|0x0000000d| 0x00000023|
|0x0000000e| 0x00000000|
|0x0000000f| 0x00000000|
|0x00000010| 0x00000000|
|0x00000011| 0x00000000|
|0x00000012| 0x00000000|
|0x00000013| 0x00000000|
|0x00000014| 0x00000000|
|0x00000015| 0x00000000|
|0x00000016| 0x00000000|
|0x00000017| 0x00000000|
|0x00000018| 0x00000000|
|0x00000019| 0x00000000|
|0x0000001a| 0x00000000|
|0x0000001b| 0x00000000|
|0x0000001c| 0x00000000|
|0x0000001d| 0x7fffeffc|
|0x0000001e| 0x00000000|
|0x0000001f| 0x00000000|
|0x00000020| 0x00000000|
|0x00000021| 0x00000000|
|0x00000022| 0x00000000|
|0xfffffffa| 0x00400094|
|0xfffffffb| 0x00000023|
|0xfffffffc| 0x1001001c|
|0xfffffffd| 0x00000000|
|0xfffffffe| 0x00000000|
|0xffffffff| 0x00400094|
________________________


===MEMORIA===
________________________
|0x00400000| 0x3c011001|
|0x00400004| 0x34280000|
|0x00400008| 0x8d090000|
|0x0040000c| 0x3c011001|
|0x00400010| 0x342a0004|
|0x00400014| 0x8d4b0000|
|0x00400018| 0x3c011001|
|0x0040001c| 0x342c0008|
|0x00400020| 0x8d8d0000|
|0x00400024| 0x012b6826|
|0x00400028| 0xad8d0000|
|0x0040002c| 0x3c011001|
|0x00400030| 0x342c000c|
|0x00400034| 0x8d8d0000|
|0x00400038| 0x00096880|
|0x0040003c| 0xad8d0000|
|0x00400040| 0x3c011001|
|0x00400044| 0x342c0010|
|0x00400048| 0x8d8d0000|
|0x0040004c| 0x000b6842|
|0x00400050| 0xad8d0000|
|0x00400054| 0x3c011001|
|0x00400058| 0x342c0014|
|0x0040005c| 0x8d8d0000|
|0x00400060| 0x012b682a|
|0x00400064| 0xad8d0000|
|0x00400068| 0x3c011001|
|0x0040006c| 0x342c0018|
|0x00400070| 0x8d8d0000|
|0x00400074| 0x012b6821|
|0x00400078| 0xad8d0000|
|0x0040007c| 0x3c011001|
|0x00400080| 0x342c001c|
|0x00400084| 0x8d8d0000|
|0x00400088| 0x312d0023|
|0x0040008c| 0xad8d0000|
|0x00400090| 0x00000000|
|0x10010000| 0x00000067|
|0x10010004| 0x00000025|
|0x10010008| 0x00000042|
|0x1001000c| 0x0000019c|
|0x10010010| 0x00000012|
|0x10010014| 0x00000000|
|0x10010018| 0x0000008c|
|0x1001001c| 0x00000023|
________________________
